Company,Role,Location,Application/Link,Date Posted
Old Mission, College Graduates - Full-Time - Junior Software Engineer - 2024 ," Chicago, IL "," <a href=""https://www.oldmissioncapital.com/careers/?gh_jid=5643831003&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/42b9157f-379f-45da-914f-2603072985dc?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
Interactive Brokers, Application Programmer ," Greenwich, CT "," <a href=""https://boards.greenhouse.io/ibkr/jobs/4243486002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/900a5668-2bc6-466e-be0d-d77ca0f4b025?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
Interactive Brokers, Finance Entry-Level Career Opportunities: Institutional Services ," Greenwich, CT "," <a href=""https://boards.greenhouse.io/ibkr/jobs/6104610002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/62660f4a-8e68-4d84-b573-e2ba403e7f2a?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
Akuna Capital, Software Engineer - Entry-Level - C++ ," Chicago, IL "," <a href=""https://www.akunacapital.com/job-details?gh_jid=5136022&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/1f4a37d6-99c3-4afb-a748-ea03ead2a7fa?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
 Akuna Capital , Performance Engineer - Entry-Level ," Chicago, IL ", 🔒 , Jul 19 
 Basis Technologies , Associate Systems Engineer ," Chicago, IL ", 🔒 , Jul 19 
 Konrad Group , Mobile Developer – Entry Level ," Toronto, ON, Canada ", 🔒 , Jul 19 
 Konrad Group , Mobile Developer – Entry Level ," Vancouver, BC, Canada ", 🔒 , Jul 19 
 Forward , Strategy and Operations – New Grad , SF , 🔒 , Jul 19 
Veeva Systems, Associate Quality Engineer ," Toronto, ON, Canada "," <a href=""https://jobs.lever.co/veeva/0ec5445b-fe7f-49e2-8039-b3eb385a21d8/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/769eae64-9b5a-4cc7-9d7b-223be07b4abf?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
Veeva Systems, Associate Quality Engineer ," Cambridge, MA "," <a href=""https://jobs.lever.co/veeva/aca8cd98-e800-45b9-94bc-cb2c3077b49d/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/107434ad-93c2-46c4-b61a-8a84dd1838f4?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
 Virtu Financial , Trading Operations Analyst ," Austin, TX ", 🔒 , Jul 19 
Tower Research Capital, Quantitative Research Analyst ," <details><summary>**5 locations**</summary>Las Vegas, NV</br>Miami, FL</br>Chicago, IL</br>NYC</br>Charleston, SC</details> "," <a href=""https://www.tower-research.com/open-positions/?gh_jid=16635&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/19901f3d-e33b-4b9c-b026-24847c329e1b?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jul 19 
 Harmony , AI Backend Engineer ," Palo Alto, CA ", 🔒 , Jul 19 
 IXL Learning , Software Engineer – New Grad ," Raleigh, NC ", 🔒 , Jul 19 
 Konrad Group , Software Developer – Entry Level ," Vancouver, BC, Canada ", 🔒 , Jul 19 
